page,sexo,apostila,aposentou,faleceu
331,M,FALSE,TRUE,TRUE
332,M,FALSE,TRUE,FALSE
333,M,FALSE,FALSE,TRUE
334,M,FALSE,TRUE,TRUE
335,M,FALSE,TRUE,TRUE
336,M,FALSE,TRUE,FALSE
337,M,FALSE,TRUE,TRUE
338,M,FALSE,TRUE,TRUE
339,M,FALSE,TRUE,TRUE
340,M,FALSE,TRUE,TRUE
341,M,FALSE,TRUE,TRUE
342,M,FALSE,TRUE,TRUE
343,M,FALSE,TRUE,TRUE
344,M,FALSE,TRUE,FALSE
345,M,FALSE,TRUE,TRUE
346,M,FALSE,FALSE,TRUE
347,M,FALSE,TRUE,FALSE
348,M,FALSE,TRUE,TRUE
349,M,FALSE,TRUE,TRUE
350,M,FALSE,TRUE,TRUE
351,M,FALSE,TRUE,TRUE
352,M,FALSE,TRUE,TRUE
353,M,FALSE,TRUE,TRUE
354,M,FALSE,TRUE,FALSE
355,M,FALSE,TRUE,FALSE
356,M,FALSE,TRUE,TRUE
357,M,FALSE,TRUE,TRUE
358,M,FALSE,TRUE,TRUE
359,M,FALSE,TRUE,FALSE
360,M,FALSE,TRUE,FALSE
361,M,FALSE,TRUE,TRUE
362,M,FALSE,TRUE,TRUE
363,M,FALSE,TRUE,FALSE
364,M,FALSE,TRUE,FALSE
365,M,FALSE,TRUE,TRUE
366,M,FALSE,TRUE,TRUE
367,M,FALSE,TRUE,FALSE
368,M,FALSE,TRUE,TRUE
369,M,FALSE,TRUE,TRUE
370,M,FALSE,TRUE,FALSE
371,M,FALSE,TRUE,TRUE
372,M,FALSE,TRUE,TRUE
373,M,FALSE,TRUE,FALSE
374,M,FALSE,TRUE,FALSE
375,M,FALSE,TRUE,TRUE
376,M,FALSE,TRUE,FALSE
377,M,FALSE,TRUE,TRUE
378,M,FALSE,TRUE,FALSE
379,M,FALSE,TRUE,FALSE
380,M,FALSE,TRUE,FALSE
381,M,FALSE,TRUE,TRUE
382,M,FALSE,TRUE,TRUE
383,M,FALSE,TRUE,TRUE
384,M,FALSE,TRUE,TRUE
385,M,FALSE,TRUE,TRUE
386,M,FALSE,FALSE,TRUE
387,M,FALSE,TRUE,FALSE
388,M,FALSE,TRUE,FALSE
389,M,FALSE,TRUE,TRUE
390,M,FALSE,FALSE,TRUE
391,M,FALSE,TRUE,TRUE
392,M,FALSE,TRUE,TRUE
393,M,FALSE,TRUE,FALSE
394,M,FALSE,FALSE,TRUE
395,M,FALSE,FALSE,TRUE
396,M,FALSE,TRUE,TRUE
397,M,FALSE,TRUE,TRUE
398,M,FALSE,TRUE,FALSE
399,M,FALSE,FALSE,TRUE
400,M,FALSE,TRUE,FALSE
401,M,FALSE,TRUE,FALSE
402,M,FALSE,TRUE,FALSE
403,M,FALSE,TRUE,FALSE
404,M,FALSE,TRUE,TRUE
405,M,FALSE,TRUE,TRUE
406,M,FALSE,TRUE,TRUE
407,M,FALSE,TRUE,FALSE
408,M,FALSE,TRUE,FALSE
409,M,FALSE,TRUE,TRUE
410,M,FALSE,TRUE,TRUE
411,M,FALSE,TRUE,TRUE
412,M,FALSE,TRUE,TRUE
413,M,FALSE,TRUE,FALSE
414,M,FALSE,TRUE,TRUE
415,M,FALSE,TRUE,FALSE
416,M,FALSE,TRUE,TRUE
417,M,FALSE,TRUE,TRUE
418,M,FALSE,TRUE,FALSE
419,M,FALSE,TRUE,TRUE
420,M,FALSE,TRUE,TRUE
421,M,FALSE,TRUE,TRUE
422,M,FALSE,TRUE,FALSE
423,M,FALSE,TRUE,TRUE
424,M,FALSE,TRUE,TRUE
425,M,FALSE,FALSE,TRUE
426,M,FALSE,TRUE,FALSE
427,M,FALSE,TRUE,TRUE
428,M,FALSE,TRUE,TRUE
429,M,FALSE,TRUE,FALSE
430,M,FALSE,TRUE,FALSE
431,M,FALSE,TRUE,TRUE
432,M,FALSE,TRUE,TRUE
433,M,FALSE,FALSE,TRUE
434,M,FALSE,TRUE,FALSE
435,M,FALSE,TRUE,FALSE
436,M,FALSE,TRUE,TRUE
437,M,FALSE,TRUE,TRUE
438,M,FALSE,TRUE,FALSE
439,M,FALSE,TRUE,TRUE
440,M,FALSE,FALSE,TRUE
441,M,FALSE,TRUE,TRUE
442,M,FALSE,FALSE,TRUE
443,M,FALSE,TRUE,FALSE
444,M,FALSE,TRUE,TRUE
445,M,FALSE,TRUE,FALSE
446,M,FALSE,TRUE,FALSE
447,M,FALSE,TRUE,TRUE
448,M,FALSE,TRUE,FALSE
449,M,FALSE,TRUE,FALSE
450,M,FALSE,TRUE,TRUE
451,M,FALSE,TRUE,FALSE
452,M,FALSE,TRUE,TRUE
453,M,FALSE,TRUE,FALSE
454,M,FALSE,TRUE,FALSE
455,M,FALSE,TRUE,TRUE
456,M,FALSE,TRUE,FALSE
457,M,FALSE,TRUE,TRUE
458,M,FALSE,FALSE,TRUE
459,M,FALSE,TRUE,FALSE
460,M,FALSE,TRUE,FALSE
461,M,FALSE,TRUE,TRUE
462,M,FALSE,TRUE,FALSE
463,M,FALSE,TRUE,TRUE
464,M,FALSE,TRUE,TRUE
465,M,FALSE,TRUE,TRUE
466,M,FALSE,TRUE,FALSE
467,M,FALSE,TRUE,FALSE
468,M,FALSE,TRUE,TRUE
469,M,FALSE,TRUE,TRUE
470,M,FALSE,TRUE,TRUE
471,M,FALSE,TRUE,TRUE
472,M,FALSE,TRUE,FALSE
473,M,FALSE,FALSE,TRUE
474,M,FALSE,FALSE,TRUE
475,M,FALSE,FALSE,TRUE
476,M,FALSE,TRUE,FALSE
477,M,FALSE,TRUE,TRUE
478,M,FALSE,TRUE,TRUE
479,M,FALSE,TRUE,FALSE
480,M,FALSE,FALSE,TRUE
481,M,FALSE,TRUE,TRUE
482,M,FALSE,FALSE,TRUE
483,M,FALSE,TRUE,FALSE
484,M,FALSE,TRUE,FALSE
485,M,FALSE,TRUE,FALSE
486,M,FALSE,TRUE,TRUE
487,M,FALSE,TRUE,FALSE
488,M,FALSE,TRUE,TRUE
489,M,FALSE,TRUE,TRUE
490,M,FALSE,TRUE,FALSE
491,M,FALSE,TRUE,FALSE
492,M,FALSE,TRUE,FALSE
493,M,FALSE,TRUE,TRUE
494,M,FALSE,TRUE,TRUE
495,M,FALSE,TRUE,FALSE
496,M,FALSE,TRUE,FALSE
497,M,FALSE,TRUE,FALSE
498,M,FALSE,TRUE,TRUE
499,M,FALSE,TRUE,FALSE
500,M,FALSE,TRUE,FALSE
501,M,FALSE,TRUE,TRUE
502,M,FALSE,TRUE,TRUE
503,M,FALSE,TRUE,FALSE
504,M,FALSE,TRUE,TRUE
505,M,FALSE,TRUE,TRUE
506,M,FALSE,TRUE,TRUE
507,M,FALSE,TRUE,FALSE
508,M,FALSE,TRUE,TRUE
509,M,FALSE,TRUE,FALSE
510,M,FALSE,TRUE,FALSE
511,M,FALSE,TRUE,FALSE
512,M,FALSE,TRUE,FALSE
513,M,FALSE,TRUE,TRUE
514,M,FALSE,TRUE,TRUE
515,M,FALSE,TRUE,FALSE
516,M,FALSE,TRUE,FALSE
517,M,FALSE,TRUE,TRUE
518,M,FALSE,TRUE,TRUE
519,M,FALSE,TRUE,TRUE
520,M,FALSE,TRUE,TRUE
521,M,FALSE,TRUE,FALSE
522,M,FALSE,TRUE,TRUE
523,M,FALSE,TRUE,FALSE
524,M,FALSE,TRUE,TRUE
525,M,FALSE,TRUE,TRUE
526,M,FALSE,TRUE,TRUE
527,M,FALSE,TRUE,TRUE
528,M,FALSE,TRUE,TRUE
529,M,FALSE,TRUE,FALSE
530,M,FALSE,TRUE,FALSE
531,M,FALSE,TRUE,TRUE
532,M,FALSE,TRUE,FALSE
533,M,FALSE,TRUE,FALSE
534,M,FALSE,TRUE,TRUE
535,M,FALSE,TRUE,TRUE
536,M,FALSE,TRUE,TRUE
537,M,FALSE,TRUE,TRUE
538,M,FALSE,TRUE,TRUE
539,M,FALSE,TRUE,TRUE
540,M,FALSE,TRUE,FALSE
541,M,FALSE,TRUE,TRUE
542,M,FALSE,TRUE,TRUE
543,M,FALSE,TRUE,FALSE
544,M,FALSE,FALSE,TRUE
545,M,FALSE,TRUE,FALSE
546,M,FALSE,TRUE,FALSE
547,M,FALSE,TRUE,FALSE
548,M,FALSE,TRUE,TRUE
549,M,FALSE,TRUE,FALSE
550,M,FALSE,TRUE,FALSE
551,M,FALSE,TRUE,FALSE
552,M,FALSE,TRUE,FALSE
553,M,FALSE,TRUE,FALSE
554,M,FALSE,TRUE,FALSE
555,M,FALSE,TRUE,FALSE
